,budget (in Million),original_language,runtime,title,movie_id,preprocessed_overview,overview,rating,preprocessed_keywords,preprocessed_genres,preprocessed_cast,preprocessed_director,preprocessed_producer,preprocessed_spoken_languages,preprocessed_production_companies,preprocessed_production_countries,preprocessed_producer_director
3376,0,en,93.0,Who's Your Caddy?,15581,street smart rapper christoph cnote hawkin big boi appli membership allwhit carolina pine countri club establish proprietor hardli readi oblig,when street smart rapper christopher cnote hawkins big boi applies for a membership to allwhite carolina pines country club the establishments proprietors are hardly ready to oblige him,3.8,sport,comedy,mick-partridge big-boi sherri-shepherd lil-wayne andy-milonakis,don-michael-paul,,English,the-weinstein-company dimension-films,United-States-of-America,don-michael-paul
3377,0,en,90.0,Split Second,13006,futurist london rise sea level mean larg area feet water hauer play cop previous lost partner strang creatur creatur back,in a futuristic london the rising sea levels mean that large areas are under feet of water hauer plays a cop who previously lost his partner to some strange creature now the creature is back and its after him,5.7,flooding futuristic police-detective,thriller action horror science-fiction crime,rutger-hauer kim-cattrall michael-j.-pollard alastair-duncan alun-armstrong,tony-maylam,laura-gregory,English,entertainment muse-productions,United-Kingdom,laura-gregory tony-maylam
3378,7,en,113.0,The Other Side of Heaven,16651,john h groberg middl class kid idaho fall cross pacif becom mormon missionari remot exot tongan island kingdom 1950 leav behind love famili true love life jean letter muse across mile john share humbl sometim hilari adventur girl back home letter buoy spirit difficult time john must struggl overcom languag barrier physic hardship deeproot suspicion earn trust love tongan peopl come serv throughout adventurefil three year island discov friend wisdom unlik place john h groberg tongan odyssey chang life forev,john h groberg a middle class kid from idaho falls crosses the pacific to become a mormon missionary in the remote and exotic tongan island kingdom during the 1950s he leaves behind a loving family and the true love of his life jean through letters and musings across the miles john shares his humbling and sometimes hilarious adventures with the girl back home and her letters buoy up his spirits in difficult times john must struggle to overcome language barriers physical hardship and deeprooted suspicion to earn the trust and love of the tongan people he has come to serve throughout his adventurefilled three years on the islands he discovers friends and wisdom in the most unlikely places john h grobergs tongan odyssey will change his life forever,6.7,based-on-novel biography,action adventure drama family,christopher-gorham anne-hathaway joe-folau miriama-smith,mitch-davis,,English ,3mark-entertainment,United-States-of-America,mitch-davis
3379,7,hi,192.0,Veer-Zaara,4251,stori love veer pratap singh indian zaara hayaat khan pakistania love great know boundari,the story of the love between veer pratap singh an indian and zaara hayaat khan a pakistania love so great it knows no boundaries,7.4,love-of-one's-life pilot class-society pakistan india kashmir-conflict,drama romance,shah-rukh-khan preity-zinta rani-mukerji amitabh-bachchan hema-malini,yash-chopra,yash-chopra aditya-chopra,हिन्दी,yash-raj-films,India,yash-chopra aditya-chopra
3380,7,en,99.0,Redbelt,12400,room principl lo angel mike terri teach jujitsu bare make end meet brazilian wife whose famili promot fight want see mike ring make money competit degrad woman sideswip mike car odd sequenc event shoot studio window later even mike rescu action movi star fistfight bar return actor befriend mike give gift offer work newest film introduc mike wife women initi busi deal thing go sour mike debt mount go ring may option,is there room for principle in los angeles mike terry teaches jujitsu and barely makes ends meet his brazilian wife whose family promotes fights wants to see mike in the ring making money but to him competition is degrading a woman sideswipes mikes car and then after an odd sequence of events shoots out the studios window later that evening mike rescues an action movie star in a fistfight at a bar in return the actor befriends mike gives him a gift offers him work on his newest film and introduces mikes wife to his own  the women initiate business dealings then things go sour all at once mikes debts mount and going into the ring may be his only option,6.4,film-making film-producer video-surveillance sport interracial-marriage auto-accident instructor jujitsu movie-star nightstick husband life-relationship set-up window-smashing,drama,chiwetel-ejiofor tim-allen alice-braga jose-pablo-cantillo randy-couture,david-mamet,,English,sony-pictures-classics,United-States-of-America,david-mamet
3381,7,en,91.0,Cyrus,39053,john social life standstil exwif get remarri luck divorcé final meet woman dream discov anoth man life son long two lock battl wit woman loveand appear one man left stand,with johns social life at a standstill and his exwife about to get remarried a down on his luck divorcée finally meets the woman of his dreams only to discover she has another man in her life  her son before long the two are locked in a battle of wits for the woman they both loveand it appears only one man can be left standing when its over,6.1,mumblecore,comedy drama romance,john-c.-reilly jonah-hill marisa-tomei catherine-keener matt-walsh,jay-duplass,michael-costigan,English Polski,scott-free-productions,United-States-of-America,michael-costigan jay-duplass
3382,0,en,96.0,A Dog Of Flanders,104896,poor happi young nello grandfath live alon deliv milk livelihood outskirt antwerp citi flander flemish dutchspeak part modernday belgium discov beaten dog bouvier larg sturdi dog nativ flander adopt nurs back health name patrasch middl name nello mother mari die nello young nello mother talent artist like mother delight draw friend alois model greatest fan support,poor but happy young nello and his grandfather live alone delivering milk as a livelihood in the outskirts of antwerp a city in flanders the flemish or dutchspeaking part of modernday belgium they discover a beaten dog a bouvier a large sturdy dog native to flanders and adopt it and nurse it back to health naming it patrasche the middle name of nellos mother mary who died when nello was very young nellos mother was a talented artist and like his mother he delights in drawing and his friend aloise is his model and greatest fan and supporter,6.4,,drama family,jack-warden jeremy-james-kissner jesse-james jon-voight cheryl-ladd,kevin-brodie,,English,,,kevin-brodie
3383,7,en,104.0,Auto Focus,14112,success tv star 1960 former hogan hero actor bob crane project wholesom familyman imag front mask persona sex addict record photograph mani encount women often help seedi friend john henri carpent biograph drama reveal crane doubl life take toll famili ultim contribut death,a successful tv star during the 1960s former hogans heroes actor bob crane projects a wholesome familyman image but this front masks his persona as a sex addict who records and photographs his many encounters with women often with the help of his seedy friend john henry carpenter this biographical drama reveals how cranes double life takes its toll on him and his family and ultimately contributes to his death,6.1,male-nudity adultery based-on-novel infidelity tv-show blow-job video biography sex-addiction based-on-true-story independent-film sex-addict,drama crime,greg-kinnear willem-dafoe rita-wilson maria-bello ron-leibman,paul-schrader,,English,sony-pictures-classics propaganda-films,United-States-of-America,paul-schrader
3384,7,en,90.0,Factory Girl,12271,mid1960 wealthi debut edi sedgwick meet artist andi warhol join warhol famou factori becom muse although seem edi cannot love crave andi affair charismat musician push seek independ artist milieu,in the mid1960s wealthy debutant edie sedgwick meets artist andy warhol she joins warhols famous factory and becomes his muse although she seems to have it all edie cannot have the love she craves from andy and she has an affair with a charismatic musician who pushes her to seek independence from the artist and the milieu,6.2,new-york alcohol sex infidelity nudity artist gallery interview studio biography addiction party love independent-film singer art drug gay-man socialite scene film warhol,drama,sienna-miller guy-pearce hayden-christensen mena-suvari jimmy-fallon,george-hickenlooper,,English Français Slovenčina,the-weinstein-company l.i.f.t.-production,United-States-of-America,george-hickenlooper
3385,7,en,112.0,We Need to Talk About Kevin,71859,mother teenag sociopath went highschool kill spree recal son derang behavior childhood deal grief,the mother of a teenage sociopath who went on a highschool killing spree recalls her sons deranged behavior during childhood as she deals with her grief,7.4,suburb violence killing-spree prison-visit guinea-pig broken-arm potty-training woman-director,drama thriller,john-c.-reilly tilda-swinton ezra-miller siobhan-fallon jasper-newell,lynne-ramsay,jennifer-fox robert-salerno luc-roeg,English,bbc-films oscilloscope-laboratories,United-Kingdom United-States-of-America,jennifer-fox robert-salerno luc-roeg lynne-ramsay
3386,0,en,100.0,The Christmas Candle,226354,deep heart english countrysid lie enchant villag gladburi legend everi 25 year angel visit villag candlemak touch singl candl whoever light candl receiv miracl christma eve 1890 dawn electr age centuri old legend may come end,deep in the heart of the english countryside lies the enchanting village of gladbury legend has it every 25 years an angel visits the village candlemaker and touches a single candle whoever lights this candle receives a miracle on christmas eve but in 1890 at the dawn of the electric age this centuries old legend may come to an end,5.8,angel miracle village christian candle christmas,drama family,hans-matheson samantha-barks lesley-manville sylvester-mccoy james-cosmo,john-stephenson,hannah-leader tom-newman,English,impact-productions-llc pinewood-studios,United-Kingdom United-States-of-America,hannah-leader tom-newman john-stephenson
3387,7,en,102.0,The Mighty Macs,48620,earli 70 cathi rush becom head basketbal coach tini allgirl cathol colleg though team gym uniform school danger sold coach rush look steer girl first nation championship,in the early 70s cathy rush becomes the head basketball coach at a tiny allgirls catholic college though her team has no gym and no uniforms  and the school itself is in danger of being sold  coach rush looks to steer her girls to their first national championship,5.0,sport catholic mother-superior catholic-school convent-school,action drama,carla-gugino ellen-burstyn marley-shelton david-boreanaz jennifer-butler,tim-chambers,,English,,United-States-of-America,tim-chambers
3388,7,en,100.0,Losin' It,33676,set 1965 four lo angel school friend woodi dave spider wendel go seri misadventur head tijuana mexico night cruisin caus troubl lose virgin,set in 1965 four los angeles school friends  woody dave spider and wendell  go on a series of misadventures when they head to tijuana mexico for a night of cruisin causing trouble and to lose their virginity,4.5,male-nudity female-nudity mexico prostitute nudity high-school locker-room independent-film teen-sex-comedy teenager canuxploitation virginity,comedy,"tom-cruise jackie-earle-haley john-stockwell john-p.-navin,-jr. shelley-long",curtis-hanson,bryan-gindoff hannah-hempstead,English Español,tijuana-productions tiberius-film-productions,Canada United-States-of-America,bryan-gindoff hannah-hempstead curtis-hanson
3389,7,en,125.0,Mother and Child,37080,live three women common adopt karen physic therapist regret teenag gave daughter adopt elizabeth adopt child success lawyer person life lack warmth luci husband fail conceiv hope adopt babi make famili complet,the lives of three women have a commonality adoption karen is a physical therapist who regrets that as a teenager she gave up her daughter for adoption elizabeth was an adopted child and is now a successful lawyer but her personal life lacks warmth lucy and her husband have failed to conceive and now hope to adopt a baby to make their family complete,6.7,adoptive-mother nymphomaniac mother-daughter-relationship,drama romance,naomi-watts samuel-l.-jackson annette-bening carla-gallo kerry-washington,rodrigo-garcía,,English,mockingbird-pictures everest-entertainment,Spain United-States-of-America,rodrigo-garcía
3390,0,en,107.0,March or Die,25388,french foreign legion earli 20 task protect group archaeologist middl east scene depict hardship daytoday foreign legion life ragtag collect peopl join local arab take offenc archaeologist declar jihad larg battl take place inevit last stand,the french foreign legion in the early 20s is tasked to protect a group of archaeologists in the middle east after scenes depicting the hardship of daytoday foreign legion life and the ragtag collection of people who join the local arabs take offence at the archaeologists and declare jihad a large battle takes place with the inevitable last stand,6.2,gypsy middle-east foreign-legion wilderness archaeologist,action adventure drama war,gene-hackman terence-hill catherine-deneuve ian-holm jack-o'halloran,dick-richards,jerry-bruckheimer dick-richards patrick-guide georges-patrick-salvy-guide,English,associated-general-films sir-lew-grade,United-Kingdom,jerry-bruckheimer dick-richards patrick-guide georges-patrick-salvy-guide
3391,0,fr,107.0,The Visitors,11687,outrag timetravel comedi follow misadventur wacki mediev knight jean reno faith servant accident transport contemporari time senil sorcerermayhem rule 12thcenturi visitor tri adapt wildli confus modern world avoid stuck good howev soon begin allout cosmic assault former castl luxuri hotel quest return past,this outrageous timetravel comedy follows the misadventures of a wacky medieval knight jean reno and his faithful servant when they are accidentally transported to contemporary times by a senile sorcerermayhem rules as these 12thcentury visitors try adapting to the wildly confusing modern world to avoid being stuck here for good however they soon begin an allout cosmic assault on their former castle  now a luxury hotel  in their quest to return to the past,7.1,servant time-travel clumsy-fellow middle-ages nobility,fantasy comedy science-fiction,jean-reno valérie-lemercier christian-clavier marie-anne-chazel christian-bujeau,jean-marie-poiré,alain-terzian,Français,canal-plus gaumont-international,France,alain-terzian jean-marie-poiré
3392,8,en,98.0,Somewhere,39210,hardliv hollywood actor reexamin life 11yearold daughter surpris visit,a hardliving hollywood actor reexamines his life after his 11yearold daughter surprises him with a visit,6.0,milan independent-film luxury-hotel man-in-towel  woman-director,comedy drama,stephen-dorff chris-pontius erin-wasson alexandra-williams nathalie-fay,sofia-coppola,sofia-coppola g.-mac-brown roman-coppola,English Italiano,american-zoetrope focus-features,United-States-of-America,sofia-coppola g.-mac-brown roman-coppola
3393,7,en,106.0,I Hope They Serve Beer in Hell,30128,tucker decid take impromptu trip celebr friend bachelor parti drag friend lie fiancé get troubl abandon order pursu hilari carnal interest tucker disinvit wed order get back tucker find way balanc narciss demand friendship,tucker decides to take an impromptu trip to celebrate his friends bachelor party he drags his friend into a lie with his fiancée gets him into trouble and then abandons him in order to pursue a hilarious carnal interest tucker is disinvited to the wedding and in order to get back in tucker has to find a way to balance his narcissism with the demands of friendship,5.7,female-nudity based-on-novel stripper flop dark-comedy aftercreditsstinger,comedy drama,matt-czuchry jesse-bradford marika-dominczyk traci-lords geoff-stults,bob-gosse,richard-kelly tucker-max,English,,,richard-kelly tucker-max bob-gosse
3394,0,en,95.0,Chairman of the Board,31535,surfer becom head major compani,a surfer becomes the head of a major company,2.7,inventor invention scandal,comedy,scott-'carrot-top'-thompson courtney-thorne-smith larry-miller jack-warden m.-emmet-walsh,alex-zamm,,English,101st-street-films,United-States-of-America,alex-zamm
3395,7,en,106.0,Hesher,44835,young boy lost mother lose touch father world around meet hesher manag make life even chaotic,a young boy has lost his mother and is losing touch with his father and the world around him then he meets hesher who manages to make his life even more chaotic,6.7,loss-of-mother clerk grocery loss-of-relative loss-of-wife briefs duringcreditsstinger,drama,joseph-gordon-levitt natalie-portman rainn-wilson audrey-wasilewski frank-collison,spencer-susser,natalie-portman lucy-cooper spencer-susser scott-prisand matt-weaver win-sheridan johnny-lin,English,dro-entertainment the-last-picture-company,United-States-of-America,natalie-portman lucy-cooper spencer-susser scott-prisand matt-weaver win-sheridan johnny-lin
3396,0,en,93.0,Dom Hemingway,192134,spend 12 year prison keep mouth shut notori safecrack dom hemingway back street london look collect he owe,after spending 12 years in prison for keeping his mouth shut notorious safecracker dom hemingway is back on the streets of london looking to collect what hes owed,5.8,growing-up money crime fatherhood,comedy crime drama,jude-law demián-bichir richard-e.-grant matthew-c.-martino emilia-clarke,richard-shepard,,English,bbc-films isle-of-man-film-commission,United-Kingdom,richard-shepard
3397,3,en,103.0,Gerry,1956,two friend name gerri becom lost desert take wrong turn attempt find way home lead troubl,two friends named gerry become lost in the desert after taking a wrong turn their attempts to find their way home only lead them into further trouble,6.2,desperation highway wilderness getting-lost friendship murder best-friend desert very-little-dialogue tarkovskyesque friend,mystery drama adventure,casey-affleck matt-damon,gus-van-sant,dany-wolf,English,epsilon-motion-pictures tango-films,United-States-of-America Argentina,dany-wolf gus-van-sant
3398,7,en,96.0,The Heart of Me,24985,drama set 1930 london two sister madelein marri ricki dinah fall love ricki dinah begin affair repercuss throughout live,drama set in 1930s london with two sisters madeleine married to rickie and dinah who falls in love with him rickie and dinah begin an affair which is to have repercussions throughout all their lives,7.7,,drama romance,helena-bonham-carter olivia-williams paul-bettany eleanor-bron tom-ward,thaddeus-o'sullivan,,English Français,british-broadcasting-corporation-(bbc),Germany United-Kingdom,thaddeus-o'sullivan
3399,7,en,103.0,Freeheld,306745,new jersey car mechan staci andre polic detect girlfriend laurel hester battl secur hester pension benefit diagnos termin ill,new jersey car mechanic stacie andree and her police detective girlfriend laurel hester both battle to secure hesters pension benefits after she was diagnosed with a terminal illness,7.1,new-jersey equality lesbian-relationship cancer,romance drama,julianne-moore ellen-page steve-carell michael-shannon luke-grimes,peter-sollett,,English,double-feature-films endgame-entertainment,United-States-of-America,peter-sollett
3400,7,en,108.0,The Extra Man,47088,extra man sophist move comedi filmmak shari springer berman robert pulcini extra man follow loui ive paul dano lone dreamer fanci hero f scott fitzgerald novel deepli embarrass incid forc leav job exclus princeton prep school loui head new york citi make fresh start quickli find 9 5 job environment magazin encount entranc greenobsess cowork mari kati holm,the extra man is a sophisticated and moving comedy from filmmakers shari springer berman and robert pulcini the extra man follows louis ives paul dano a lonely dreamer who fancies himself the hero of an f scott fitzgerald novel when a deeply embarrassing incident forces him to leave his job at an exclusive princeton prep school louis heads to new york city to make a fresh start he quickly finds a 9 to 5 job at an environmental magazine where he encounters an entrancing greenobsessed coworker mary katie holmes,5.9,independent-film woman-director,comedy,kevin-kline paul-dano katie-holmes john-c.-reilly dan-hedaya,shari-springer-berman,anthony-bregman stephanie-davis,English,wild-bunch likely-story,France United-States-of-America,anthony-bregman stephanie-davis shari-springer-berman
3401,7,ru,170.0,Hard to Be a God,110402,group scientist sent planet arkanar help local civil mediev phase histori find right path progress task difficult one cannot interfer violent case kill scientist rumata tri save local intellectu punish cannot avoid take posit question would god place director statement aleksei want make film entir life road long one film cruelti love love tangibl aliv resist hardest condit,a group of scientists is sent to the planet arkanar to help the local civilization which is in the medieval phase of its own history to find the right path to progress their task is a difficult one they cannot interfere violently and in no case can they kill the scientist rumata tries to save the local intellectuals from their punishment and cannot avoid taking a position as if the question were what would you do in gods place directors statement aleksei wanted to make this film his entire life the road was a long one this is not a film about cruelty but about love a love that was there tangible alive and that resisted through the hardest of conditions,6.7,,drama science-fiction,leonid-yarmolnik yuriy-tsurilo natalya-moteva aleksandr-chutko aleksandr-ilin,aleksey-german,leonid-yarmolnik viktor-izvekov,Pусский,lenfilm-studio sever-studio,Russia,leonid-yarmolnik viktor-izvekov aleksey-german
3402,7,en,108.0,Ca$h,27004,stroke good luck turn lethal sam phelan wife lesli face lifechang decis bring strang sinist pyke kubic doorstep pyke lead sam lesli tumultu adventur street chicago pull deeper deeper desper spiral decept violenc name money,a stroke of good luck turns lethal for sam phelan and his wife leslie when they are faced with a lifechanging decision that brings strange and sinister pyke kubic to their doorstep as pyke leads sam and leslie on a tumultuous adventure through the streets of chicago each are pulled deeper and deeper into a desperate spiral of deception and violence  all in the name of money,6.0,independent-film money,crime thriller comedy,sean-bean chris-hemsworth victoria-profeta thampy-antony mike-starr,stephen-milburn-anderson,stephen-milburn-anderson naveen-chathappuram,English Français,immortal-thoughts three-good-men,United-States-of-America,stephen-milburn-anderson naveen-chathappuram
3403,0,en,120.0,Wah-Wah,15013,set end 1960 swaziland receiv independ unit kingdom film follow young ralph compton 12 parent traumat separ till he 14 film larg base richard e grant experi teenag swaziland father head educ british govern administr,set at the end of the 1960s as swaziland is about to receive independence from united kingdom the film follows the young ralph compton at 12 through his parents traumatic separation till hes 14 the film is largely based on richard e grants own experiences as a teenager in swaziland where his father was head of education for the british government administration,6.3,adultery brain-tumor south-africa alcoholism divorce,drama,gabriel-byrne emily-watson julie-walters nicholas-hoult miranda-richardson,richard-e.-grant,jeff-abberley marie-castille-mention-schaar pierre-kubel chris-curling,English,reeleyes-film wah-film-productions-ltd.,United-Kingdom South-Africa France,jeff-abberley marie-castille-mention-schaar pierre-kubel chris-curling richard-e.-grant
3404,6,en,108.0,The Boondock Saints,8374,godinspir moral oblig act evil twin brother conner murphi set rid boston crimin howev rather work within system irish american decid take swift retribut hand,with a godinspired moral obligation to act against evil twin brothers conner and murphy set out to rid boston of criminals however rather than working within the system these irish americans decide to take swift retribution into their own hands,7.2,arbitrary-law boston twin-brother russian-mafia prologue irish police-station pager duringcreditsstinger,action thriller crime,willem-dafoe norman-reedus sean-patrick-flanery david-della-rocco david-ferry,troy-duffy,elie-samaha lloyd-segan chris-brinker robert-n.-fried,English Español,franchise-pictures brood-syndicate,Canada United-States-of-America,elie-samaha lloyd-segan chris-brinker robert-n.-fried troy-duffy
3405,0,cn,92.0,Z Storm,277519,stori biggest financi fraud attempt hong kong direct govern hong kong involv 7 million hong kong citizen one free scheme within four decad guard hong kong financi integr icac never come across oppon huge well organ z torrent file shadowi figur underworld south america itali europ readi plot estim 150 million dollar hong kong citizen tax money pool fund call welfar fund high profil charter account high rank law enforc power lawyer super entrepreneur share play none realli grasp big pictur desir,this is a story about the biggest financial fraud attempted in hong kong directed at the government of hong kong and involved all 7 million hong kong citizens no one is free from the scheme within the four decades of guarding hong kongs financial integrity the icac has never come across an opponent so huge and so well organized as in the z torrent file shadowy figures from the underworld of south america italy and europe all ready to plot against the estimated 150 million dollars of hong kong citizens tax money which was pooled in a fund called the welfare fund high profile chartered accountants high ranking law enforcers power lawyers the super entrepreneurs they all have their shares of play but none can really grasp the big picture they are there only for what they desire most,5.8,,crime thriller,louis-koo gordon-lam-ka-tung dada-chan janelle-sing michael-wong,david-lam,john-chong ren-yue,广州话-/-廣州話,pegasus-motion-pictures,China Hong-Kong,john-chong ren-yue david-lam
3406,7,en,84.0,Twixt,78381,writer declin career arriv small town part book tour get caught murder mysteri involv young girl night dream approach mysteri young ghost name v he unsur connect murder town grate stori hand ultim led truth stori surpris find end life could ever anticip,a writer with a declining career arrives in a small town as part of his book tour and gets caught up in a murder mystery involving a young girl that night in a dream he is approached by a mysterious young ghost named v hes unsure of her connection to the murder in the town but is grateful for the story being handed to him ultimately he is led to the truth of the story surprised to find that the ending has more to do with his own life than he could ever have anticipated,5.0,sheriff vampire orphanage writer edgar-allen-poe ghost murder-mystery,horror thriller,val-kilmer bruce-dern ben-chaplin elle-fanning joanne-whalley,francis-ford-coppola,francis-ford-coppola,English,american-zoetrope,United-States-of-America,francis-ford-coppola
3407,7,ru,76.0,The Snow Queen,164372,icecold snow queen wish turn world frozen landscap light joy happi free young man kai rumor son man queen remain threat abduct held captiv queen palac sister gerda rescu gerda journey across ici land face difficult obstacl meet wonder new friend help quest set kai free defeat snow queen save world etern frost,the icecold snow queen wishes to turn the world into a frozen landscape with no light no joy no happiness and no free will a young man kai is rumored to be the son of a man who is the queens only remaining threat he is abducted and held captive in the queens palace and its up to his sister gerda to rescue him gerda journeys across an icy land facing difficult obstacles and meeting wonderful new friends that help her in her quest to set kai free defeat the snow queen and save the world from eternal frost,5.1,,animation fantasy,ivan-okhlobystin dmitriy-nagiev lyudmila-artemeva anna-ardova elizaveta-arzamasova,vladlen-barbe,,Pусский,bazelevs-production,Russia,vladlen-barbe
3408,0,en,53.0,Alpha and Omega: The Legend of the Saw Tooth Cave,294512,alpha omega share thrill adventur runt discov saw tooth cave runt find wolf need lend help paw star ben diskin amp kate higgin american computeranim actioncomedyfantasi film exclus walmart fourth film alpha omega franchis sequel alpha omega howliday adventur great wolf game,the alphas and omegas share a thrilling adventure after runt discovers the saw tooth cave runt finds a wolf in need and lends a helping paw stars ben diskin amp kate higgins  american computeranimated actioncomedyfantasy film exclusively from walmart it is the fourth film in the alpha and omega franchise and the sequel to alpha and omega a howliday adventure and the great wolf games,6.5,,family animation comedy adventure,dee-dee-greene ben-diskin lindsay-torrance kate-higgins christopher-corey-smith,richard-rich,,English,crest-animation-production lionsgate,United-States-of-America,richard-rich
3409,0,en,115.0,Pale Rider,8879,small gold mine camp terroris ruthless land owner want take land clint eastwood arriv ride pale hors young girl pray god help miner reveal preacher mysteri possibl otherworldli origin team miner defeat land owner corrupt sheriff,a small gold mining camp is terrorised by a ruthless land owner wanting to take their land clint eastwood arrives riding a pale horse just as a young girl is praying to god to help the miners he is revealed to be a preacher with mysterious and possible otherworldly origins who teams up with the miners to defeat the land owner and the corrupt sheriff,7.0,gunslinger showdown marshal blackmail mine settler gold-mining-town violence killer preacher gold-miner strange-person,romance western,clint-eastwood michael-moriarty carrie-snodgress chris-penn richard-dysart,clint-eastwood,clint-eastwood,English,warner-bros. malpaso-company,United-States-of-America,clint-eastwood
3410,7,en,97.0,Stargate: The Ark of Truth,13001,sg1 search ancient weapon could help defeat ori discov may ori home galaxi ori prepar send ship milki way attack earth sg1 travel ori galaxi aboard odyssey intern oversight committe plan sg1 find distant galaxi fight two power enemi,sg1 searches for an ancient weapon which could help them defeat the ori and discover it may be in the oris own home galaxy as the ori prepare to send ships through to the milky way to attack earth sg1 travels to the ori galaxy aboard the odyssey the international oversight committee have their own plans and sg1 finds themselves in a distant galaxy fighting two powerful enemies,6.9,wormhole space-travel supernatural-powers spaceship alien,adventure science-fiction,ben-browder amanda-tapping christopher-judge michael-shanks beau-bridges,robert-c.-cooper,brad-wright robert-c.-cooper john-g.-lenic allison-volk,English,metro-goldwyn-mayer-(mgm) kawoosh!-productions-dtv-i,Canada United-States-of-America,brad-wright robert-c.-cooper john-g.-lenic allison-volk
3411,6,en,102.0,Dazed and Confused,9571,adventur group texa teen last day school 1976 center student randal floyd move easili among stoner jock geek floyd star athlet also like smoke weed present conundrum footbal coach demand sign drug pledg,the adventures of a group of texas teens on their last day of school in 1976 centering on student randall floyd who moves easily among stoners jocks and geeks floyd is a star athlete but he also likes smoking weed which presents a conundrum when his football coach demands he sign a no drugs pledge,7.4,1970s texas high-school comedy coming-of-age summer teenager period-drama great-soundtrack,comedy drama,jason-london rory-cochrane wiley-wiggins sasha-jenson michelle-burke,richard-linklater,richard-linklater sean-daniel james-jacks,English,gramercy-pictures alphaville-productions,United-States-of-America,richard-linklater sean-daniel james-jacks
3412,0,en,104.0,High School Musical 2,13649,east high wildcat readi time live troy zac efron thrill he offer job countri club part sharpay ashley tisdal plot lure away gabriella vanessa hudgen turn question answer night club talent show,the east high wildcats are ready to have the time of their lives troy zac efron is thrilled when hes offered a job in a country club but its all part of sharpays ashley tisdale plot to lure him away from gabriella vanessa hudgens how will it all turn out all questions are answered on the night of the clubs talent show,6.1,musical music summer teenager summer-job country-club,comedy drama family music,zac-efron vanessa-hudgens ashley-tisdale lucas-grabeel corbin-bleu,kenny-ortega,bill-borden kenny-ortega,English,disney-channel,United-States-of-America,bill-borden kenny-ortega
3413,0,en,96.0,Two Lovers and a Bear,325373,set small town near north pole road lead nowher stori follow roman luci two burn soul come togeth make leap life inner peac,set in a small town near the north pole where roads lead to nowhere the story follows roman and lucy two burning souls who come together to make a leap for life and inner peace,6.8,small-town lovers bear north-pole,drama romance,dane-dehaan tatiana-maslany gordon-pinsent john-ralston joel-gagne,kim-nguyen,,English,,,kim-nguyen
3414,7,en,94.0,Criminal Activities,334527,four young men make riski invest togeth put troubl mob,four young men make a risky investment together that puts them in trouble with the mob,5.8,mobster money-problems borrow trouble classmates investment bűnös-utakon,thriller crime drama,dan-stevens john-travolta michael-pitt jackie-earle-haley travis-aaron-wade,jackie-earle-haley,wayne-allan-rice howard-burd micah-sparks,English,neenee-productions capacity-pictures,United-States-of-America,wayne-allan-rice howard-burd micah-sparks jackie-earle-haley
3415,0,de,125.0,Aimee & Jaguar,2211,berlin 194344 battl berlin felic intellig courag jewish woman live fals name belong underground organ lilli devot mother four though occasion unfaith wife desper love unusu passion love blossom despit danger persecut nightli bomb raid gestapo felic trail friend flee decid sit war lilli one hot day august 1944 gestapo wait lilli flat,berlin 194344 the battle of berlin felice an intelligent and courageous jewish woman who lives under a false name belongs to an underground organization lilly a devoted mother of four though an occasional unfaithful wife is desperate for love an unusual and passionate love between them blossoms despite the danger of persecution and nightly bombing raids the gestapo is on felices trail her friends flee she decides to sit out the war with lilly one hot day in august 1944 the gestapo is waiting in lillys flat,6.3,berlin jew forbidden-love lesbian-relationship homosexuality lesbian-interest,drama history romance,maria-schrader juliane-köhler johanna-wokalek heike-makatsch elisabeth-degen,max-färberböck,günter-rohrbach hanno-huth,Deutsch,,Germany,günter-rohrbach hanno-huth max-färberböck
3416,0,en,108.0,The Chumscrubber,13919,chumscrubb dark comedi live peopl live upperclass suburbia begin dean stiffl find bodi friend troy doesnt bother tell adult know wont care everyon town self consum worri anyth els everybodi form drug get day,the chumscrubber is a dark comedy about the lives of people who live in upperclass suburbia it all begins when dean stiffle finds the body of his friend troy he doesnt bother telling any of the adults because he knows they wont care everyone in town is too self consumed to worry about anything else than themselves and everybody is on some form of drug just to get through their days,6.7,suicide father-son-relationship surreal independent-film parallel-world,comedy drama,jamie-bell camilla-belle justin-chatwin glenn-close kathi-copeland,arie-posin,lawrence-bender bonnie-curtis susanne-bohnet gerd-koechlin manfred-d.-heid lee-clay,English,lawrence-bender-productions el-camino-pictures,Germany United-States-of-America,lawrence-bender bonnie-curtis susanne-bohnet gerd-koechlin manfred-d.-heid lee-clay arie-posin
3417,6,en,101.0,Shade,14576,tiffani charli vernon con artist look ant typic scam figur good way take dean dean steven wellknown cardsharp rig game howev first need enough money enter game steven decid strike deal fellow crook larri jen scam local gangster turn bad idea,tiffany charlie and vernon are con artists looking to up the ante from their typical scams they figure a good way of doing this is taking down dean the dean stevens a wellknown cardsharp in a rigged game however they first need enough money to enter a game with stevens so they decide to strike a deal with fellow crook larry jennings to scam a local gangster  which turns out to be a bad idea,6.1,,action thriller crime,stuart-townsend gabriel-byrne thandie-newton jamie-foxx roger-guenveur-smith,damian-nieman,,English,cobalt-media-group judgement-pictures,United-States-of-America,damian-nieman
